Headlines,Time,Description
"Everything Jim Cramer said on 'Mad Money,' including volatile market, Hormel, buy Bed Bath & Beyond",2019-10-10,"Jim Cramer gives investors a cheat sheet for finding safe stocks in a volatile market, sits down with Hormel CEO Jim Snee for an interview, makes a case for buying Bed Bath & Beyond and urges that the market needs an interest rate cut."
Cramer's lightning round: We are against private prison stocks,2019-10-10,Jim Cramer takes calls and delivers answers to callers' questions about their favorite stock picks in rapid speed.
Cramer's week ahead: It is shaping up to be a good week for earnings,2019-10-11,"""I'm expecting many of these quarters could be better than expected,"" ""Mad Money's"" Jim Cramer says."
Wendy's CEO to Jim Cramer: 'We have a menu that can compete' in breakfast,2019-10-11,"""We have a menu that can compete, a low-investment and a high-return model for our franchise community,"" CEO Todd Penegor says of Wendy's breakfast strategy."
Cramer's lightning round: MGM's gambling and sports plans are 'spectacular',2019-10-11,Jim Cramer takes calls and opines on viewer stock picks of the day in rapid speed.
"Everything Jim Cramer said on 'Mad Money,' including China trade deal, Wendy's breakfast, earnings",2019-10-11,"Jim Cramer says Trump's trade strategy is working, but he's not yet sold on trade talks. The ""Mad Money"" host previews the week ahead on Wall Street, chats with Wendy's CEO and offers tips in golf stocks."
Retail legend Mickey Drexler on how clothing companies can succeed in today's environment,2019-10-11,"""You don't need huge assortments to shop anymore ... Focus on the best,"" former J. Crew CEO Mickey Drexler says."
Experts are split on where the S&P 500 is headed next as earnings kick off,2019-10-14,"Earnings season unofficially begins Tuesday, but market watchers aren't all in agreement over where this round of reporting will take stocks next."
"Overcoming these three things could spark a year-end rally, Ned Davis Research says",2019-10-16,"The market is in a slump, but accomplishing three things could lead to a year-end rally, according to a report by Ned Davis Research."
"The big banks have become the ideal stocks for this market, Jim Cramer says",2019-10-16,"Retail sales dropped in Sepember for the first time since February, but Jim Cramer of ""Mad Money"" says, ""These banks tell a different story."""
Salesforce's Marc Benioff on the future of Big Tech: 'Capitalism needs guardrails',2019-10-16,"""Capitalism needs guardrails. ... That's a very important part of the future of technology as well,"" Salesforce co-CEO Marc Benioff tells CNBC's Jim Cramer."
Cramer's lightning round: Canopy needs a packaged goods CEO,2019-10-16,"""Mad Money"" host Jim Cramer rings the lightning round bell, which means he's giving his answers to callers' stock questions at rapid speed."
"Everything Jim Cramer said on 'Mad Money,' including big bank earnings, Marc Benioff on capitalism",2019-10-16,"Jim Cramer talks earnings and stock rotations, sits down with Salesforce co-CEO Marc Benioff and corporate payments Wex CEO Melissa Smith, and explains why UnitedHealth shares jumped on a good quarterly report."
"Everything Jim Cramer said on 'Mad Money,' including earnings, trade, Netflix and Arrowhead CEO",2019-10-17,"CNBC's Jim Cramer explains why some stocks rallied on ""not-as-bad-as-feared"" quarterly reports, makes a case to speculate on positive trade deal news and says to ""ring the register"" on Netflix."
Cramer's lightning round: The market determined SmileDirectClub is a sell,2019-10-17,"Jim Cramer takes calls and delivers his thoughts on the stocks of SmileDirectClub, Zebra Technologies, Boston Beer and Cedar Fair."
"Do not own or short Netflix here  E'ring the register,' Jim Cramer says",2019-10-17,"""You've got to understand what Netflix is up against because when you look at these [quarterly] numbers in context I think they're pretty discouraging,"" CNBC's Jim Cramer says."
Jim Cramer says stock market will 'blast' past current levels if trade questions are resolved,2019-10-17,"You need to factor in resolutions to the trade disputes ""before you start doing a lot of selling right into this market,"" Jim Cramer says."
Why Fundstrat's managing partner says 2019 is the best year in 20 years for markets,2019-10-18,"Tom Lee, Fundstrat Global Advisors managing partner, joins 'Fast Money Halftime Report' to discuss why he thinks there is more more gains ahead of the stock market. Shannon Saccocia, Boston Private Wealth CIO, and Rob Sechan, UBS Private Wealth Management, also discuss."
"Let's swap Netflix for Microsoft, Jim Cramer says in FAANG audit",2019-10-18,"CNBC's Jim Cramer says it's time to retire ""FAANG"" to make way for a new name that represents the five most valuable technology stocks on the S&P 500."
Cramer's lightning round: Beyond Meat is still a sell,2019-10-18,"""Mad Money"" host Jim Cramer rings the lightning round bell, which means he's giving his answers to callers' stock questions at rapid speed."
"Cramer's week ahead: McDonald's, Amazon, Chipotle, Caterpillar, Boeing and more earnings reports",2019-10-18,"""At this point in earnings season, you should simply try to stop, look and listen,"" CNBC's Jim Cramer says."
"Everything Jim Cramer said on 'Mad Money,' including playing earnings week, FAANG audit, bank stocks",2019-10-18,"Jim Cramer preps for a jam-packed week of earnings, saying it's time to replace Netflix with Microsoft in FAANG and suggests investing in financials."
"'These not-as-bad-as-feared quarters are good news for shareholders,' Jim Cramer says",2019-10-18,"Jim Cramer breaks down why shares of Union Pacific, Honeywell and Johnson & Johnson managed to rally on mixed-earnings reports."
"Everything Jim Cramer said on 'Mad Money,' including Apple's records, S&P 500 projections, StockX",2019-10-21,"CNBC's Jim Cramer breaks down how Apple and JPMorgan market action influence their respective sectors, forecasts what's ahead for the S&P 500 and sits down with new StockX CEO Scott Cutler."
"Apple is on fire and helping the chip stocks rally, Jim Cramer says",2019-10-21,"""We're getting some tremendous positive pin action here with some very important companies putting up excellent results and it's reverberating,"" ""Mad Money's"" Jim Cramer says."
Jim Cramer warns that this bearish scenario in the S&P 500 is 'on the table',2019-10-21,"One trusted chart analyst thinks the market is still rallying but warns investors that ""real trouble"" looms, Jim Cramer explains on ""Mad Money."""
Cramer's lightning round: The secret to buying Merck around earnings,2019-10-21,CNBC's Jim Cramer takes calls and delivers answers to viewer questions about their favorite stock picks of the day.
"'Stay the course': Stocks can climb another 10% by end of 2020, says money manager",2019-10-22,"The bull market is still intact and could deliver another 10% of gains by the end of next year, says Todd Morgan, chairman and CEO of Bel Air Investment Advisors."
"Lightning will never 'strike' an index fund like it did Biogen on Tuesday, Jim Cramer says",2019-10-22,"CNBC's Jim Cramer makes the case that investors should own individual stocks ""if you're willing to do the work"" and ""try to beat the averages."""
Cramer's lightning round: Hold on to this 'never-talked-about company',2019-10-22,"""Mad Money"" host Jim Cramer rings the lightning round bell, which means he's giving his answers to callers' stock questions at rapid speed."
"Hasbro in Q4 has 'come out of the gates' strongly, CEO Brian Goldner tells Jim Cramer",2019-10-22,"Hasbro ""can grow in the fourth quarter and, as we go forward, we will get through this issue related to the tariffs,"" CEO Brian Goldner says."
"Everything Jim Cramer said on 'Mad Money,' including Biogen drug, Hasbro and Logitech, Beyond Meat",2019-10-22,CNBC's Jim Cramer says Biogen is one example why investors should buy individual stocks. He chats with the CEOs of Hasbro and Logitech after their earnings reports and breaks down why more downside may be in store for Beyond Meat.
StockX's new CEO tells Jim Cramer going public is 'certainly our objective as a company',2019-10-22,"""We're going after a global opportunity with consumers around the world and we're super excited about this innovation in commerce,"" CEO Scott Cutler tells CNBC's Jim Cramer."
"Everything Jim Cramer said on 'Mad Money,' including earnings, CSX and ServiceNow CEOs",2019-10-23,"Jim Cramer breaks down the week in earnings reports, gets an update on CSX's precision railroading strategy with CEO Jim Foote, gets a read on the digital transformation story with ServiceNow and makes recommendations in chipmakers and medtech."
Cramer's lightning round: Exact Sciences is close to calling a bottom,2019-10-23,Jim Cramer takes calls and delivers his thoughts on callers' favorite stock picks of the day in rapid speed.
Companies founded only by women receive 3% of venture capital. This firm aims to change that,2019-10-23,"""A founder who sees a huge market opportunity and she has a vision ... has a right to access that capital alongside anyone else,"" Victress Capital's Lori Cashman says."
"Earnings season has reached 'maximum disorientation,' Jim Cramer says",2019-10-23,Jim Cramer breaks down the counterintuitive trading in Chipotle and Caterpillar and instructs investors to buy the dip.
"This investment 'could do a lot of damage to your portfolio,' $9 billion money manager warns",2019-10-23,"Long-term bonds are ""too dangerous"" at this point in the bull market's cycle, warns Todd Morgan, chairman and CEO of Bel Air Investment Advisors."
